"index","collection","packageId","granuleId","title","detailsLink","pdfLink","pdfSize","htmlLink","htmlSize","xmlLink","xmlSize","otherLink1","other1Size","otherLink2","other2Size","teaser","historical","publishdate"
"11","Bulk Submission","GOVPUB-D5-PURL-gpo35932","","Japan-China Relations 2005-2010: Managing Between a Rock and a Hard Place, an Interpretative Essay","https://www.govinfo.gov/app/details/GOVPUB-D5-PURL-gpo35932","https://www.govinfo.gov/content/pkg/GOVPUB-D5-PURL-gpo35932/pdf/GOVPUB-D5-PURL-gpo35932.pdf","643.0 KB","","0 B","","0 B","","0 B","","0 B"," for Strategic Research Institute for National Strategic Studies National Defense University Institute for National Strategic Studies National Defense University The Institute for National Strategic Studies (INSS) is National Defense University’s (NDU’s) dedicated research arm. INSS includes the Center for Strategic Research, Center for Complex ...","","2012-01-01"
"12","Congressional Bills","BILLS-103hr259ih","","To require that the President negotiate with Japan an agreement whereby Japan reimburses the United States for a portion of the costs the United States incurs in providing a military defense of Japan.","https://www.govinfo.gov/app/details/BILLS-103hr259ih","https://www.govinfo.gov/content/pkg/BILLS-103hr259ih/pdf/BILLS-103hr259ih.pdf","138.7 KB","https://www.govinfo.gov/content/pkg/BILLS-103hr259ih/html/BILLS-103hr259ih.htm","4.2 KB","","0 B","","0 B","","0 B","portion of the costs the United States incurs in providing a military defense of Japan. IN THE HOUSE OF REPRESENTATIVES January 5, 1993 Mr. Neal of North Carolina introduced the following bill; which was referred to the Committee on Foreign Affairs A BILL To require that the President negotiate with Japan an agreement whereby Japan reimburses the ...","","1993-01-05"
"13","Bulk Submission","GOVPUB-D114-PURL-gpo85254","","The War Against Japan","https://www.govinfo.gov/app/details/GOVPUB-D114-PURL-gpo85254","https://www.govinfo.gov/content/pkg/GOVPUB-D114-PURL-gpo85254/pdf/GOVPUB-D114-PURL-gpo85254.pdf","34.9 MB","","0 B","","0 B","","0 B","","0 B","Printed 1952—CMH Pub 12–1 For sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: (202) 512-1800 Fax: (202) 512-2250 Mail: Stop SSOP, Washington, DC 20402-0001 UNITED STATES ARMY IN WORLD WAR II Kent Roberts Greenfield, General Editor Advisory Committee James P. Baxter William T. Hutchinson ...","","2001-01-01"
"14","History of Bills","HOB-1991","HOB-1991-hr377","A bill to require that the President negotiate with Japan an agreement whereby Japan reimburses the United States for a portion of the costs the United States incurs in providing a military defense of Japan","https://www.govinfo.gov/app/details/HOB-1991/HOB-1991-hr377","","0 B","https://www.govinfo.gov/content/pkg/HOB-1991/html/HOB-1991-hr377.htm","360.0 B","","0 B","","0 B","","0 B"," H.R. 377--A bill to require that the President negotiate with Japan an agreement whereby Japan reimburses the United States for a portion of the costs the United States incurs in providing a military defense of Japan; to the Committee on Foreign Affairs. By Mr. NEAL of North Carolina ...","","1991-12-31"
"15","History of Bills","HOB-1988","HOB-1988-hr5294","A bill to require that the President negotiate with Japan an agreement whereby Japan reimburses the United States for a portion of the costs the United States incurs in providing a military defense of Japan","https://www.govinfo.gov/app/details/HOB-1988/HOB-1988-hr5294","","0 B","https://www.govinfo.gov/content/pkg/HOB-1988/html/HOB-1988-hr5294.htm","342.0 B","","0 B","","0 B","","0 B"," H.R. 5294--A bill to require that the President negotiate with Japan an agreement whereby Japan reimburses the United States for a portion of the costs the United States incurs in providing a military defense of Japan; to the Committee on Foreign Affairs. By Mr. NEAL ...","","1988-12-31"
"16","History of Bills","HOB-1989","HOB-1989-hr2728","A bill to require that the President negotiate with Japan an agreement whereby Japan reimburses the United States for a portion of the costs the United States incurs in providing a military defense of Japan","https://www.govinfo.gov/app/details/HOB-1989/HOB-1989-hr2728","","0 B","https://www.govinfo.gov/content/pkg/HOB-1989/html/HOB-1989-hr2728.htm","380.0 B","","0 B","","0 B","","0 B"," H.R. 2728--A bill to require that the President negotiate with Japan an agreement whereby Japan reimburses the United States for a portion of the costs the United States incurs in providing a military defense of Japan; to the Committee on Foreign Affairs. By Mr. NEAL of North Carolina Cosponsors added ...","","1989-12-31"
"17","Congressional Record","CREC-2019-11-21","CREC-2019-11-21-pt1-PgS6770","REAFFIRMING THE IMPORTANCE OF THE GENERAL SECURITY OF MILITARY INFORMATION AGREEMENT BETWEEN THE REPUBLIC OF KOREA AND JAPAN","https://www.govinfo.gov/app/details/CREC-2019-11-21/CREC-2019-11-21-pt1-PgS6770","https://www.govinfo.gov/content/pkg/CREC-2019-11-21/pdf/CREC-2019-11-21-pt1-PgS6770.pdf","230.1 KB","https://www.govinfo.gov/content/pkg/CREC-2019-11-21/html/CREC-2019-11-21-pt1-PgS6770.htm","1.3 KB","","0 B","","0 B","","0 B",", I ask unanimous consent that the Foreign Relations Committee be discharged from further consideration and the Senate now proceed to S. Res. 435. The PRESIDING OFFICER. Without objection, it is so ordered. The clerk will report the resolution by title. The legislative clerk read as follows: A resolution (S. Res. 435) reaffirming the importance ...","","2019-11-21"
"18","Compilation of Presidential Documents","DCPD-201900547","","Remarks and an Exchange With Reporters Prior to Departure for Bedminster, New Jersey","https://www.govinfo.gov/app/details/DCPD-201900547","https://www.govinfo.gov/content/pkg/DCPD-201900547/pdf/DCPD-201900547.pdf","83.1 KB","https://www.govinfo.gov/content/pkg/DCPD-201900547/html/DCPD-201900547.htm","45.6 KB","","0 B","","0 B","","0 B",". So we're doing very well with China. We're talking to China. We're not ready to make a deal, but we'll see what happens. But you know, we've been hurt by China for 25, 30 years. Nobody has done anything about it. And we have no choice but to do what we're doing. It's working out very well, as you know. We called them on manipulation, and they...","","2019-08-09"
"19","History of Bills","HOB-1993","HOB-1993-hr259","A bill to require that the President negotiate with Japan an agreement whereby Japan reimburses the United States for a portion of the costs the United States incurs in providing a military defense of Japan","https://www.govinfo.gov/app/details/HOB-1993/HOB-1993-hr259","","0 B","https://www.govinfo.gov/content/pkg/HOB-1993/html/HOB-1993-hr259.htm","405.0 B","","0 B","","0 B","","0 B"," H.R. 259--A bill to require that the President negotiate with Japan an agreement whereby Japan reimburses the United States for a portion of the costs the United States incurs in providing a military defense of Japan; to the Committee on Foreign Affairs. By Mr. NEAL of North Carolina, H107 [6JA] Cosponsors added, H2058 [27AP] ...","","1993-12-31"
"20","Federal Register","FR-2000-07-21","00-18530","Amendments to the International Traffic in Arms Regulation: NATO Countries, Australia and Japan","https://www.govinfo.gov/app/details/FR-2000-07-21/00-18530","https://www.govinfo.gov/content/pkg/FR-2000-07-21/pdf/00-18530.pdf","227.8 KB","https://www.govinfo.gov/content/pkg/FR-2000-07-21/html/00-18530.htm","26.9 KB","","0 B","","0 B","","0 B",", Italy on May 24, 2000. The reforms of the U.S. export controls system are available to NATO Allies, Japan and Australia and are intended to streamline the U.S. defense export control licensing process and forge closer industrial linkage between the U.S. and allied defense suppliers. It is contemplated that it will increase our mutual ...","","2000-07-21"
"21","Congressional Bills","BILLS-116sres435ats","","Reaffirming the importance of the General Security of Military Information Agreement between the Republic of Korea and Japan, and for other purposes.","https://www.govinfo.gov/app/details/BILLS-116sres435ats","https://www.govinfo.gov/content/pkg/BILLS-116sres435ats/pdf/BILLS-116sres435ats.pdf","209.9 KB","https://www.govinfo.gov/content/pkg/BILLS-116sres435ats/html/BILLS-116sres435ats.htm","5.2 KB","","0 B","https://www.govinfo.gov/content/pkg/BILLS-116sres435ats/xml/BILLS-116sres435ats.xml","6.7 KB","","0 B"," of Korea and Japan, and for other purposes. IN THE SENATE OF THE UNITED STATES November 21, 2019 Mr. Risch (for himself, Mr. Menendez, Mr. Inhofe, Mr. Reed, Mr. Coons, Mr. Markey, Mr. Gardner, Mr. Portman, and Mr. Merkley) submitted the following resolution; which was referred to the Committee on Foreign Relations November 21, 2019 ...","","2019-11-21"
"22","Congressional Bills","BILLS-116sres435is","","Reaffirming the importance of the General Security of Military Information Agreement between the Republic of Korea and Japan, and for other purposes.","https://www.govinfo.gov/app/details/BILLS-116sres435is","https://www.govinfo.gov/content/pkg/BILLS-116sres435is/pdf/BILLS-116sres435is.pdf","228.0 KB","https://www.govinfo.gov/content/pkg/BILLS-116sres435is/html/BILLS-116sres435is.htm","5.1 KB","","0 B","https://www.govinfo.gov/content/pkg/BILLS-116sres435is/xml/BILLS-116sres435is.xml","6.4 KB","","0 B"," of Korea and Japan, and for other purposes. IN THE SENATE OF THE UNITED STATES November 20, 2019 Mr. Risch (for himself, Mr. Menendez, Mr. Inhofe, and Mr. Reed) submitted the following resolution; which was referred to the Committee on Foreign Relations RESOLUTION Reaffirming the importance of the General Security of Military Information ...","","2019-11-20"
"23","Congressional Committee Prints","CPRT-91HPRT55531","CPRT-91HPRT55531","Military assistance training in East and Southeast Asia: a staff report prepared for the use of the Subcommittee on National Security Policy and Scientific Developments of the Committee on Foreign Affairs, U.S. House of Representatives, 91st Congress, second session, February 16, 1971.","https://www.govinfo.gov/app/details/CPRT-91HPRT55531/CPRT-91HPRT55531","https://www.govinfo.gov/content/pkg/CPRT-91HPRT55531/pdf/CPRT-91HPRT55531.pdf","20.4 MB","","0 B","","0 B","","0 B","","0 B","the Use of the SUBCOMMITTEE ON NATIONAL SECURITY POLICY AND SCIENTIFIC DEVELOPMENTS OF THE COMMITTEE ON FOREIGN AFFAIRS U.S. HOUSE OF REPRESENTATIVES 91st Congress, Second Session FEBRUARY 16, 1971 55-531 U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : 1971 FOREWORD February 16, 1971. Date in 1969 the Subcommittee on National Security Policy and ...","","1971-02-16"
"24","Bulk Submission","GOVPUB-D114-PURL-gpo93038","","The Corps of Engineers: The War Against Japan","https://www.govinfo.gov/app/details/GOVPUB-D114-PURL-gpo93038","https://www.govinfo.gov/content/pkg/GOVPUB-D114-PURL-gpo93038/pdf/GOVPUB-D114-PURL-gpo93038.pdf","25.2 MB","","0 B","","0 B","","0 B","","0 B","UNITED STATES ARM!' WASHINGTON, D.C , 1987 Foreword Contributions of the Corps of Engineers to victory in war, and to our country's peacetime history, are well known and appreciated. The skill and versatility of this talented body of soldiers met a supreme test in opera- tions against the Japanese, many of which were conducted in the most primi- ...","","1987-01-01"
"25","United States Courts Opinions","USCOURTS-cofc-1_24-cv-01824","USCOURTS-cofc-1_24-cv-01824-0","RAYTHEON COMPANY v. USA","https://www.govinfo.gov/app/details/USCOURTS-cofc-1_24-cv-01824/USCOURTS-cofc-1_24-cv-01824-0","https://www.govinfo.gov/content/pkg/USCOURTS-cofc-1_24-cv-01824/pdf/USCOURTS-cofc-1_24-cv-01824-0.pdf","311.6 KB","","0 B","","0 B","","0 B","","0 B","Defendant, and NORTHROP GRUMMAN SYSTEMS CORP., Defendant – Intervenor. Jeffrey M. Lowry, Vedder Price, PC, Washington, DC, for plaintiff. With him on the briefs were Kevin P. Connelly, Kelly E. Buroker, and Michael P. Ols, Vedder Price, P.C., Washington, DC. Reta E. Bezak, Senior Trial Counsel, Commercial Litigation Branch, Civil Division, U.S. ...","","2025-02-24"
"26","Congressional Record","CREC-1996-04-15","CREC-1996-04-15-pt1-PgH3233-5","JAPAN FORCES REDEPLOYMENT","https://www.govinfo.gov/app/details/CREC-1996-04-15/CREC-1996-04-15-pt1-PgH3233-5","https://www.govinfo.gov/content/pkg/CREC-1996-04-15/pdf/CREC-1996-04-15-pt1-PgH3233-5.pdf","188.0 KB","https://www.govinfo.gov/content/pkg/CREC-1996-04-15/html/CREC-1996-04-15-pt1-PgH3233-5.htm","4.7 KB","","0 B","","0 B","","0 B"," during morning business for 5 minutes. Mr. UNDERWOOD. Mr. Speaker, today President Clinton arrives in Asia on a trip designed to shore up the United States security relationship with Japan and Korea. Since the conviction of three marines on charges of raping a 12-year-old girl in Okinawa and the ensuing protests on the island, the future ...","","1996-04-15"
"27","United States Courts Opinions","USCOURTS-ned-8_22-cv-00367","USCOURTS-ned-8_22-cv-00367-2","Wallace v. United States Army et al","https://www.govinfo.gov/app/details/USCOURTS-ned-8_22-cv-00367/USCOURTS-ned-8_22-cv-00367-2","https://www.govinfo.gov/content/pkg/USCOURTS-ned-8_22-cv-00367/pdf/USCOURTS-ned-8_22-cv-00367-2.pdf","364.8 KB","","0 B","","0 B","","0 B","","0 B"," OF AMERICA, Defendants. 8:22–CV–367 MEMORANDUM AND ORDER ON DEFENDANTS’ MOTION TO DISMISS Pro se plaintiff Jerome N. Wallace, Sr., filed suit seeking lost wages and injunctive relief based on his claim that the United States Army erroneously designated him as “killed in action” on November 2, 1966. Filing 1 at 3–4. As he did in a prior lawsuit, ...","","2023-06-30"
"28","Compilation of Presidential Documents","WCPD-2005-11-21","WCPD-2005-11-21-Pg1724","Remarks in Kyoto, Japan","https://www.govinfo.gov/app/details/WCPD-2005-11-21/WCPD-2005-11-21-Pg1724","https://www.govinfo.gov/content/pkg/WCPD-2005-11-21/pdf/WCPD-2005-11-21-Pg1724.pdf","63.3 KB","https://www.govinfo.gov/content/pkg/WCPD-2005-11-21/html/WCPD-2005-11-21-Pg1724.htm","22.5 KB","","0 B","","0 B","","0 B","] you for this invitation. Laura and I are pleased to be back in Japan, and we appreciate the warm welcome that we received here in Kyoto. We were so honored to stay at the Kyoto State Guest House. It's a fantastic facility. I know the folks of this community have great pride in the guest house, and you should. Kyoto served as the capital of Japan ...","","2005-11-16"
"29","Congressional Record","CREC-1996-08-02","CREC-1996-08-02-pt1-PgS9625","JAPAN CONSTRUCTION PRACTICES","https://www.govinfo.gov/app/details/CREC-1996-08-02/CREC-1996-08-02-pt1-PgS9625","https://www.govinfo.gov/content/pkg/CREC-1996-08-02/pdf/CREC-1996-08-02-pt1-PgS9625.pdf","153.7 KB","https://www.govinfo.gov/content/pkg/CREC-1996-08-02/html/CREC-1996-08-02-pt1-PgS9625.htm","20.9 KB","","0 B","","0 B","","0 B"," for United States construction companies and for United States-Japan trade relations. It has come to my attention that the Japanese Government is building a new airport near Nagoya, Japan called the Chubu International Airport. This multibillion-dollar project will be that country's largest public works effort for the next decade. The first...","","1996-08-02"
"30","Congressional Documents","CDOC-104hdoc22","CDOC-104hdoc22","DISASTER ASSISTANCE FOR JAPAN","https://www.govinfo.gov/app/details/CDOC-104hdoc22/CDOC-104hdoc22","https://www.govinfo.gov/content/pkg/CDOC-104hdoc22/pdf/CDOC-104hdoc22.pdf","182.4 KB","https://www.govinfo.gov/content/pkg/CDOC-104hdoc22/html/CDOC-104hdoc22.htm","2.3 KB","","0 B","","0 B","","0 B","NOTIFICATION THAT HE HAS DIRECTED THE SECRETARY OF DEFENSE TO PROVIDE APPROPRIATE DISASTER ASSISTANCE TO THE GOVERNMENT OF JAPAN IN RESPONSE TO THE EARTHQUAKE OF JANUARY 17, 1995, PURSUANT TO 10 U.S.C. 404...","","1995-01-23"
"31","Congressional Hearings","CHRG-111shrg62791","CHRG-111shrg62791","U.S.-Japan Relations","https://www.govinfo.gov/app/details/CHRG-111shrg62791/CHRG-111shrg62791","https://www.govinfo.gov/content/pkg/CHRG-111shrg62791/pdf/CHRG-111shrg62791.pdf","1.9 MB","https://www.govinfo.gov/content/pkg/CHRG-111shrg62791/html/CHRG-111shrg62791.htm","194.6 KB","","0 B","","0 B","","0 B"," SENATE ONE HUNDRED ELEVENTH CONGRESS SECOND SESSION APRIL 15, 2010 Printed for the use of the Committee on Foreign Relations Available via the World Wide Web: http://www.gpoaccess.gov/congress/ index.html U.S. GOVERNMENT PRINTING OFFICE 62-791 PDF WASHINGTON : 2010 For sale by the Superintendent of Documents, U.S. Government Printing Office ...","","2010-04-15"
"32","Congressional Serial Set","SERIALSET-11525_00_00-032-0085-0000","","Proposed supplemental appropriation to pay claims for damages, audited claims, and judgments rendered against the United States. Communication from the President of the United States transmitting a proposed supplemental appropriation ... March 19, 1951. -- Referred to the Committee on Appropriations and ordered to be printed;U.S. Congressional Serial Set No. 11525 - House Documents, Vol. 11","https://www.govinfo.gov/app/details/SERIALSET-11525_00_00-032-0085-0000","https://www.govinfo.gov/content/pkg/SERIALSET-11525_00_00-032-0085-0000/pdf/SERIALSET-11525_00_00-032-0085-0000.pdf","8954225","","0 B","","0 B","https://www.govinfo.gov/content/pkg/SERIALSET-11525_00_00-032-0085-0000/thumbnails/SERIALSET-11525_00_00-032-0085-0000-0401.gif","10.5 KB","","0 B",", AND JUDG- MENTS RENDERED AGAINST THE UNITED STATES COMMUNICATION FROM THE PRESIDENT OF THE UNITED STATES TRANSMITTING A PROPOSED SUPPLEMENTAL APPROPRIATION TO PAY CLAIMS FOR DAMAGES, AUDITED CLAIMS, AND JUDGMENTS RENDERED AGAINST THE UNITED STATES, AS PROVIDED BY VARIOUS LAWS, IN THE AMOUNT OF $1,999,044.26, TOGETHER WITH SUCH AMOUNTS AS MAY BE...","","1951-03-19"
"33","Congressional Hearings","CHRG-111hhrg50632","CHRG-111hhrg50632","Japan's Changing Role","https://www.govinfo.gov/app/details/CHRG-111hhrg50632/CHRG-111hhrg50632","https://www.govinfo.gov/content/pkg/CHRG-111hhrg50632/pdf/CHRG-111hhrg50632.pdf","3.3 MB","https://www.govinfo.gov/content/pkg/CHRG-111hhrg50632/html/CHRG-111hhrg50632.htm","127.2 KB","","0 B","","0 B","","0 B"," ONE HUNDRED ELEVENTH CONGRESS FIRST SESSION JUNE 25, 2009 Serial No. 111-41 Printed for the use of the Committee on Foreign Affairs Available via the World Wide Web: http://www.foreignaffairs.house.gov/ ______ U.S. GOVERNMENT PRINTING OFFICE 50-632 WASHINGTON : 2009 For sale by the Superintendent of Documents, U.S. Government Printing...","","2009-06-25"
"34","Congressional Hearings","CHRG-110hhrg42907","CHRG-110hhrg42907","U.S.-Japan Relations: An Overview","https://www.govinfo.gov/app/details/CHRG-110hhrg42907/CHRG-110hhrg42907","https://www.govinfo.gov/content/pkg/CHRG-110hhrg42907/pdf/CHRG-110hhrg42907.pdf","193.7 KB","https://www.govinfo.gov/content/pkg/CHRG-110hhrg42907/html/CHRG-110hhrg42907.htm","1.5 KB","","0 B","","0 B","","0 B"," Phone: toll free (866) 512–1800; DC area (202) 512–1800 Fax: (202) 512–2104 Mail: Stop IDCC, Washington, DC 20402–0001 42–907PDF 2008 U.S.–JAPAN RELATIONS: AN OVERVIEW HEARING BEFORE THE SUBCOMMITTEE ON ASIA, THE PACIFIC, AND THE GLOBAL ENVIRONMENT OF THE COMMITTEE ON FOREIGN AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED TENTH CONGRESS SECOND ...","","2008-06-12"
"35","Congressional Hearings","CHRG-109hhrg20785","CHRG-109hhrg20785","Focus on a Changing Japan","https://www.govinfo.gov/app/details/CHRG-109hhrg20785/CHRG-109hhrg20785","https://www.govinfo.gov/content/pkg/CHRG-109hhrg20785/pdf/CHRG-109hhrg20785.pdf","935.9 KB","https://www.govinfo.gov/content/pkg/CHRG-109hhrg20785/html/CHRG-109hhrg20785.htm","1.4 KB","","0 B","","0 B","","0 B"," Phone: toll free (866) 512–1800; DC area (202) 512–1800 Fax: (202) 512–2250 Mail: Stop SSOP, Washington, DC 20402–0001 20–785PDF 2005 FOCUS ON A CHANGING JAPAN HEARING BEFORE THE SUBCOMMITTEE ON ASIA AND THE PACIFIC OF THE COMMITTEE ON INTERNATIONAL RELATIONS HOUSE OF REPRESENTATIVES ONE HUNDRED NINTH CONGRESS FIRST SESSION APRIL 20, 2005 Serial ...","","2005-04-20"
"36","Congressional Record","CREC-2004-10-08","CREC-2004-10-08-pt1-PgS10829-2","U.S.-JAPAN RELATIONS","https://www.govinfo.gov/app/details/CREC-2004-10-08/CREC-2004-10-08-pt1-PgS10829-2","https://www.govinfo.gov/content/pkg/CREC-2004-10-08/pdf/CREC-2004-10-08-pt1-PgS10829-2.pdf","239.3 KB","https://www.govinfo.gov/content/pkg/CREC-2004-10-08/html/CREC-2004-10-08-pt1-PgS10829-2.htm","22.6 KB","","0 B","","0 B","","0 B"," to our Nation's efforts to help the Iraqi people build a safe and stable democracy. In the very public discussions that we hear every day about Iraq we often do not hear about the extraordinary efforts of the United States' closest security ally in the Asia-Pacific Region. That ally is, of course, Japan. We are all aware of the limitations ...","","2004-10-08"
